spec,description,category,section_note,area,room_type_quantities,attic_stock,total,uom,notes,source_page,item_id,vendor,model,part_number,unit_cost,warranty_months,warranty_start,warranty_end,installed_date,last_replaced,on_hand,min_on_hand,storage_location,link,image_urls,tags
GR-100,"Full Sofa Sleeper @ Guestroom (68""W)",SEATING,,Guestrooms,"{'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-406': 4, 'ID-413': 1}",,43.0,EA,,1,GR-100-01-p01,,,,,,,,,,,,,,[],[]
GR-101,Upholstered Task Chair at Desk,SEATING,,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4, 'ID-411': 3, 'ID-413': 1}",1.0,133.0,EA,,1,GR-101-01-p01,,,,,,,,,,,,,,[],[]
GR-102,"Guestroom Lounge Chair (28""W x 32""D x 37""H)",SEATING,,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-404': 1, 'ID-406': 4, 'ID-411': 3, 'ID-413': 1}",,63.0,EA,,1,GR-102-01-p01,,,,,,,,,,,,,,[],[]
GR-103,Guestroom Armless Side Chair,SEATING,,Guestrooms,"{'ID-402': 64, 'ID-403': 5, 'ID-413': 2}",,71.0,EA,,1,GR-103-01-p01,,,,,,,,,,,,,,[],[]
GR-100F,COM at Sofa,SEATING,,Guestrooms,{},,452.0,YDS,Santiago - Mermaid,1,GR-100F-01-p01,,,,,,,,,,,,,,[],[]
GR-101F,COM Fabric at Task Chair (Bleach Cleanable),SEATING,,Guestrooms,{},,505.0,YDS,Array - Calypso,1,GR-101F-01-p01,,,,,,,,,,,,,,[],[]
GR-102F,COM Fabric at Lounge Chair,SEATING,,Guestrooms,{},,252.0,YDS,Spangle - Firefly,1,GR-102F-01-p01,,,,,,,,,,,,,,[],[]
GR-103F,COM Fabric at Side Chair,SEATING,,Guestrooms,{},,121.0,YDS,Spangle - Firefly,1,GR-103F-01-p01,,,,,,,,,,,,,,[],[]
GR-200,King Table Lamp - Matte Black Ceramic,LIGHTING,,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-413': 1}",1.0,56.0,EA,,1,GR-200-01-p01,,,,,,,,,,,,,,[],[]
GR-200B,9W LED Bulbs at King Table Lamp - 1 per,LIGHTING,,Guestrooms,{},5.0,60.0,EA,,1,GR-200B-01-p01,,,,,,,,,,,,,,[],[]
GR-200S,Attic Stock Lampshades for King Table Lamp,LIGHTING,,Guestrooms,{},,10.0,EA,,1,GR-200S-01-p01,,,,,,,,,,,,,,[],[]
GR-201,"Queen Headboard Sconce - LED integrated (plug-in with 20""L cordcover)",LIGHTING,,Guestrooms,"{'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4, 'ID-411': 3, 'ID-413': 1}",1.0,79.0,EA,,1,GR-201-01-p01,,,,,,,,,,,,,,[],[]
GR-202,"King Headboard Sconce - LED integrated (plug-in with 20""L cordcover)",LIGHTING,,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1}",1.0,55.0,EA,,1,GR-202-01-p01,,,,,,,,,,,,,,[],[]
